,Fruit,Year,Month,Sales
8530,STL-WS,2017,Jan,3.7021630615640597
8531,STL-WS,2017,Feb,3.9863945578231292
8532,STL-WS,2017,Mar,4.178637200736648
8533,STL-WS,2017,Apr,3.9833641404805915
8534,STL-WS,2017,May,3.670194003527337
8535,STL-WS,2017,Jun,3.328173374613003
8536,STL-WS,2017,Jul,2.954391891891892
8537,STL-WS,2017,Aug,2.8732142857142855
8538,STL-WS,2017,Sep,3.1986062717770034
8539,STL-WS,2017,Oct,4.016722408026756
8518,STL-WS,2016,Jan,3.9696048632218845
8519,STL-WS,2016,Feb,4.965299684542587
8520,STL-WS,2016,Mar,4.02051282051282
8521,STL-WS,2016,Apr,4.398989898989899
8522,STL-WS,2016,May,3.4029535864978904
8523,STL-WS,2016,Jun,1.9673913043478262
8524,STL-WS,2016,Jul,2.6767810026385224
8525,STL-WS,2016,Aug,1.7706093189964158
8526,STL-WS,2016,Sep,2.1878612716763004
8527,STL-WS,2016,Oct,3.862533692722372
8528,STL-WS,2016,Nov,3.5142045454545454
8529,STL-WS,2016,Dec,3.5712
8506,STL-WS,2015,Jan,4.398584905660377
8507,STL-WS,2015,Feb,4.22457627118644
8508,STL-WS,2015,Mar,3.5288461538461537
8509,STL-WS,2015,Apr,4.640692640692641
8510,STL-WS,2015,May,4.261904761904762
8511,STL-WS,2015,Jun,3.226890756302521
8512,STL-WS,2015,Jul,2.940988835725678
8513,STL-WS,2015,Aug,2.889705882352941
8514,STL-WS,2015,Sep,2.524193548387097
8515,STL-WS,2015,Oct,3.524390243902439
8516,STL-WS,2015,Nov,4.10427807486631
8517,STL-WS,2015,Dec,4.188976377952756
8494,STL-WS,2014,Jan,2.501381215469613
8495,STL-WS,2014,Feb,3.6425855513307983
8496,STL-WS,2014,Mar,4.798534798534798
8497,STL-WS,2014,Apr,4.6146245059288535
8498,STL-WS,2014,May,1.996661101836394
8499,STL-WS,2014,Jun,2.4449938195302843
8500,STL-WS,2014,Jul,2.7665130568356373
8501,STL-WS,2014,Aug,2.755972696245734
8502,STL-WS,2014,Sep,2.766509433962264
8503,STL-WS,2014,Oct,4.5436507936507935
8504,STL-WS,2014,Nov,4.687651331719128
8505,STL-WS,2014,Dec,3.33271375464684
8482,STL-WS,2013,Jan,3.7928571428571427
8483,STL-WS,2013,Feb,4.406779661016949
8484,STL-WS,2013,Mar,3.16988416988417
8485,STL-WS,2013,Apr,3.314782608695652
8486,STL-WS,2013,May,2.2534965034965033
8487,STL-WS,2013,Jun,2.1921119592875318
8488,STL-WS,2013,Jul,1.7424698795180722
8489,STL-WS,2013,Aug,1.518939393939394
8490,STL-WS,2013,Sep,2.2410501193317423
8491,STL-WS,2013,Oct,2.5233050847457625
8492,STL-WS,2013,Nov,2.621686746987952
8493,STL-WS,2013,Dec,1.9123376623376624
8479,STL-WS,2012,Oct,3.2193877551020407
8480,STL-WS,2012,Nov,2.3984674329501914
8481,STL-WS,2012,Dec,3.833675564681725
8469,STL-WD,2017,Jan,202.58402662229616
8470,STL-WD,2017,Feb,208.94897959183675
8471,STL-WD,2017,Mar,201.56537753222835
8472,STL-WD,2017,Apr,174.6524953789279
8473,STL-WD,2017,May,206.78130511463846
8474,STL-WD,2017,Jun,197.57430340557275
8475,STL-WD,2017,Jul,190.86317567567568
8476,STL-WD,2017,Aug,183.5
8477,STL-WD,2017,Sep,185.2822299651568
8478,STL-WD,2017,Oct,200.33110367892976
8457,STL-WD,2016,Jan,224.71732522796353
8458,STL-WD,2016,Feb,220.89274447949526
8459,STL-WD,2016,Mar,195.84871794871796
8460,STL-WD,2016,Apr,185.87878787878788
8461,STL-WD,2016,May,182.99367088607596
8462,STL-WD,2016,Jun,188.84057971014494
8463,STL-WD,2016,Jul,167.3957783641161
8464,STL-WD,2016,Aug,164.70430107526883
8465,STL-WD,2016,Sep,166.16184971098266
8466,STL-WD,2016,Oct,182.63072776280325
8467,STL-WD,2016,Nov,191.14488636363637
8468,STL-WD,2016,Dec,219.344
8445,STL-WD,2015,Jan,242.37971698113208
8446,STL-WD,2015,Feb,221.84533898305085
8447,STL-WD,2015,Mar,180.15865384615384
8448,STL-WD,2015,Apr,190.12121212121212
8449,STL-WD,2015,May,201.89880952380952
8450,STL-WD,2015,Jun,210.87394957983193
8451,STL-WD,2015,Jul,183.0414673046252
8452,STL-WD,2015,Aug,182.79166666666666
8453,STL-WD,2015,Sep,156.7741935483871
8454,STL-WD,2015,Oct,193.4308943089431
8455,STL-WD,2015,Nov,169.27005347593584
8456,STL-WD,2015,Dec,198.98425196850394
8433,STL-WD,2014,Jan,210.32596685082873
8434,STL-WD,2014,Feb,184.52851711026616
8435,STL-WD,2014,Mar,185.84249084249083
8436,STL-WD,2014,Apr,184.08893280632412
8437,STL-WD,2014,May,171.5041736227045
8438,STL-WD,2014,Jun,186.74907292954265
8439,STL-WD,2014,Jul,183.17511520737327
8440,STL-WD,2014,Aug,184.82935153583617
8441,STL-WD,2014,Sep,152.06603773584905
8442,STL-WD,2014,Oct,196.0793650793651
8443,STL-WD,2014,Nov,239.05326876513317
8444,STL-WD,2014,Dec,188.54275092936803
8421,STL-WD,2013,Jan,173.22857142857143
8422,STL-WD,2013,Feb,183.0536723163842
8423,STL-WD,2013,Mar,167.67567567567568
8424,STL-WD,2013,Apr,165.00347826086957
8425,STL-WD,2013,May,182.43006993006992
8426,STL-WD,2013,Jun,203.3002544529262
8427,STL-WD,2013,Jul,175.875
8428,STL-WD,2013,Aug,159.5776515151515
8429,STL-WD,2013,Sep,169.9856801909308
8430,STL-WD,2013,Oct,191.67584745762713
8431,STL-WD,2013,Nov,220.99036144578312
8432,STL-WD,2013,Dec,195.98376623376623
8418,STL-WD,2012,Oct,186.18112244897958
8419,STL-WD,2012,Nov,165.60919540229884
8420,STL-WD,2012,Dec,172.2710472279261
8408,STL-Temp,2017,Jan,274.3509617304486
8409,STL-Temp,2017,Feb,280.35621428571454
8410,STL-Temp,2017,Mar,281.6121946258615
8411,STL-Temp,2017,Apr,287.86223566623863
8412,STL-Temp,2017,May,292.56659611992893
8413,STL-Temp,2017,Jun,298.5156191950462
8414,STL-Temp,2017,Jul,301.2810219947211
8415,STL-Temp,2017,Aug,297.1200178571428
8416,STL-Temp,2017,Sep,296.0429479965122
8417,STL-Temp,2017,Oct,290.3013712374585
8396,STL-Temp,2016,Jan,271.44554682027376
8397,STL-Temp,2016,Feb,274.6372838495334
8398,STL-Temp,2016,Mar,284.0651085598948
8399,STL-Temp,2016,Apr,289.7586829307249
8400,STL-Temp,2016,May,293.07245552079513
8401,STL-Temp,2016,Jun,301.52522114727384
8402,STL-Temp,2016,Jul,300.8744364935698
8403,STL-Temp,2016,Aug,299.5358369175627
8404,STL-Temp,2016,Sep,296.1233318190057
8405,STL-Temp,2016,Oct,291.0510064178574
8406,STL-Temp,2016,Nov,284.38549539998627
8407,STL-Temp,2016,Dec,271.93619672434687
8384,STL-Temp,2015,Jan,270.2550137578607
8385,STL-Temp,2015,Feb,267.441214689269
8386,STL-Temp,2015,Mar,277.7210288461656
8387,STL-Temp,2015,Apr,289.40834319384396
8388,STL-Temp,2015,May,293.97973776456297
8389,STL-Temp,2015,Jun,298.44698050721695
8390,STL-Temp,2015,Jul,299.7605987799794
8391,STL-Temp,2015,Aug,298.9165247992648
8392,STL-Temp,2015,Sep,297.6979307151411
8393,STL-Temp,2015,Oct,288.4814307708944
8394,STL-Temp,2015,Nov,283.3425028254756
8395,STL-Temp,2015,Dec,279.15233920967916
8372,STL-Temp,2014,Jan,272.2922613383576
8373,STL-Temp,2014,Feb,270.2447718631181
8374,STL-Temp,2014,Mar,278.497765567766
8375,STL-Temp,2014,Apr,287.37148484848615
8376,STL-Temp,2014,May,292.7261467655291
8377,STL-Temp,2014,Jun,297.54553294569985
8378,STL-Temp,2014,Jul,297.6619329628297
8379,STL-Temp,2014,Aug,299.02784468077664
8380,STL-Temp,2014,Sep,294.1854567610145
8381,STL-Temp,2014,Oct,288.89949900794846
8382,STL-Temp,2014,Nov,275.41957142856404
8383,STL-Temp,2014,Dec,274.44129646839235
8360,STL-Temp,2013,Jan,275.87195277777136
8361,STL-Temp,2013,Feb,274.07370197739846
8362,STL-Temp,2013,Mar,277.0957980051469
8363,STL-Temp,2013,Apr,286.8400895652178
8364,STL-Temp,2013,May,294.3122596153842
8365,STL-Temp,2013,Jun,299.05247544529
8366,STL-Temp,2013,Jul,299.8893687249005
8367,STL-Temp,2013,Aug,298.74621489898993
8368,STL-Temp,2013,Sep,297.1179700875126
8369,STL-Temp,2013,Oct,288.6794711158116
8370,STL-Temp,2013,Nov,282.02966345381094
8371,STL-Temp,2013,Dec,274.2480151515152
8357,STL-Temp,2012,Oct,288.76141233392343
8358,STL-Temp,2012,Nov,281.51293103448256
8359,STL-Temp,2012,Dec,276.6100944558523
8347,STL-Pres,2017,Jan,1018.3227953410982
8348,STL-Pres,2017,Feb,1014.9387755102041
8349,STL-Pres,2017,Mar,1019.195211786372
8350,STL-Pres,2017,Apr,1012.2070240295749
8351,STL-Pres,2017,May,1012.326278659612
8352,STL-Pres,2017,Jun,1014.3034055727554
8353,STL-Pres,2017,Jul,1016.7567567567568
8354,STL-Pres,2017,Aug,1017.275
8355,STL-Pres,2017,Sep,1016.9337979094076
8356,STL-Pres,2017,Oct,1016.9096989966555
8335,STL-Pres,2016,Jan,1021.4741641337386
8336,STL-Pres,2016,Feb,1015.6656151419559
8337,STL-Pres,2016,Mar,1015.3
8338,STL-Pres,2016,Apr,1015.1691919191919
8339,STL-Pres,2016,May,1015.6940928270042
8340,STL-Pres,2016,Jun,1013.7771739130435
8341,STL-Pres,2016,Jul,1014.4722955145119
8342,STL-Pres,2016,Aug,1013.2956989247311
8343,STL-Pres,2016,Sep,1016.2398843930636
8344,STL-Pres,2016,Oct,1014.1590296495957
8345,STL-Pres,2016,Nov,1017.8295454545455
8346,STL-Pres,2016,Dec,1023.5328
8323,STL-Pres,2015,Jan,1040.1132075471698
8324,STL-Pres,2015,Feb,1039.0635593220338
8325,STL-Pres,2015,Mar,1036.0673076923076
8326,STL-Pres,2015,Apr,1026.6298701298701
