,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
0,2012,10,9E,0,0.0,0.0
1,2012,10,AA,2495,2526.0,1.0124248496993988
2,2012,10,AS,422,149.0,0.35308056872037913
3,2012,10,B6,459,237.0,0.5163398692810458
4,2012,10,DL,2553,2737.0,1.072072072072072
5,2012,10,EV,768,521.0,0.6783854166666666
6,2012,10,F9,674,796.0,1.1810089020771513
7,2012,10,FL,391,28.0,0.07161125319693094
8,2012,10,MQ,1290,2295.0,1.7790697674418605
9,2012,10,NK,0,0.0,0.0
10,2012,10,OO,1245,230.0,0.18473895582329317
11,2012,10,UA,3045,2612.0,0.857799671592775
12,2012,10,US,1605,1448.0,0.9021806853582555
13,2012,10,VX,414,1171.0,2.8285024154589373
14,2012,10,WN,2966,4183.0,1.4103169251517196
15,2012,10,YV,260,1433.0,5.5115384615384615
16,2012,11,9E,0,0.0,0.0
17,2012,11,AA,1495,1747.0,1.168561872909699
18,2012,11,AS,358,193.0,0.5391061452513967
19,2012,11,B6,303,722.0,2.382838283828383
20,2012,11,DL,1609,1111.0,0.6904909881914233
21,2012,11,EV,532,147.0,0.27631578947368424
22,2012,11,F9,514,48.0,0.0933852140077821
23,2012,11,FL,213,11.0,0.051643192488262914
24,2012,11,MQ,881,2792.0,3.1691259931895575
25,2012,11,NK,0,0.0,0.0
26,2012,11,OO,995,97.0,0.09748743718592964
27,2012,11,UA,1810,492.0,0.2718232044198895
28,2012,11,US,1260,619.0,0.49126984126984125
29,2012,11,VX,350,1046.0,2.9885714285714284
30,2012,11,WN,2249,3456.0,1.5366829702089817
31,2012,11,YV,159,177.0,1.1132075471698113
32,2012,12,9E,0,0.0,0.0
33,2012,12,AA,1891,2036.0,1.0766790058170281
34,2012,12,AS,462,220.0,0.47619047619047616
35,2012,12,B6,636,580.0,0.9119496855345912
36,2012,12,DL,2484,6159.0,2.4794685990338166
37,2012,12,EV,1087,1077.0,0.9908003679852806
38,2012,12,F9,971,228.0,0.23480947476828012
39,2012,12,FL,485,136.0,0.2804123711340206
40,2012,12,MQ,1519,12997.0,8.556287030941409
41,2012,12,NK,0,0.0,0.0
42,2012,12,OO,1430,756.0,0.5286713286713287
43,2012,12,UA,2611,2055.0,0.7870547682880122
44,2012,12,US,2037,1132.0,0.5557191948944527
45,2012,12,VX,513,1380.0,2.690058479532164
46,2012,12,WN,4197,8323.0,1.9830831546342627
47,2012,12,YV,197,215.0,1.0913705583756346
48,2013,01,9E,511,1473.0,2.882583170254403
49,2013,01,AA,1794,3948.0,2.20066889632107
50,2013,01,AS,437,159.0,0.36384439359267734
51,2013,01,B6,612,598.0,0.9771241830065359
52,2013,01,DL,2606,7066.0,2.711435149654643
53,2013,01,EV,1455,1540.0,1.0584192439862543
54,2013,01,F9,858,53.0,0.06177156177156177
55,2013,01,FL,374,91.0,0.24331550802139038
56,2013,01,MQ,1898,12671.0,6.675974710221285
57,2013,01,NK,0,0.0,0.0
58,2013,01,OO,1493,1161.0,0.7776289350301406
59,2013,01,UA,2822,5212.0,1.846917080085046
60,2013,01,US,2750,3613.0,1.3138181818181818
61,2013,01,VX,210,889.0,4.233333333333333
62,2013,01,WN,2543,3156.0,1.2410538733779002
63,2013,01,YV,251,618.0,2.462151394422311
64,2013,02,9E,567,1543.0,2.7213403880070546
65,2013,02,AA,1921,6188.0,3.2212389380530975
66,2013,02,AS,368,467.0,1.2690217391304348
67,2013,02,B6,712,845.0,1.1867977528089888
68,2013,02,DL,2630,6773.0,2.5752851711026614
69,2013,02,EV,1421,1325.0,0.932441942294159
70,2013,02,F9,781,611.0,0.7823303457106274
71,2013,02,FL,433,49.0,0.11316397228637413
72,2013,02,MQ,1954,11787.0,6.032241555783009
73,2013,02,NK,0,0.0,0.0
74,2013,02,OO,1182,1343.0,1.1362098138747885
75,2013,02,UA,2743,6757.0,2.4633612832664964
76,2013,02,US,2542,3174.0,1.2486231313926042
77,2013,02,VX,325,1080.0,3.3230769230769233
78,2013,02,WN,2122,3375.0,1.5904806786050896
79,2013,02,YV,264,714.0,2.7045454545454546
80,2013,03,9E,694,544.0,0.7838616714697406
81,2013,03,AA,2051,5800.0,2.8278888347147735
82,2013,03,AS,493,264.0,0.5354969574036511
83,2013,03,B6,764,2448.0,3.2041884816753927
84,2013,03,DL,3427,16523.0,4.82141814998541
85,2013,03,EV,1434,815.0,0.5683403068340307
86,2013,03,F9,759,228.0,0.30039525691699603
87,2013,03,FL,573,1065.0,1.8586387434554974
88,2013,03,MQ,1673,9056.0,5.413030484160191
89,2013,03,NK,0,0.0,0.0
90,2013,03,OO,1524,2299.0,1.5085301837270342
91,2013,03,UA,3143,5126.0,1.6309258670060451
92,2013,03,US,2992,2967.0,0.991644385026738
93,2013,03,VX,406,1982.0,4.8817733990147785
94,2013,03,WN,4056,7136.0,1.7593688362919133
95,2013,03,YV,264,909.0,3.4431818181818183
96,2013,04,9E,587,604.0,1.028960817717206
97,2013,04,AA,3119,10099.0,3.2378967617826224
98,2013,04,AS,558,397.0,0.7114695340501792
99,2013,04,B6,871,918.0,1.0539609644087256
100,2013,04,DL,3809,10132.0,2.660015752165923
101,2013,04,EV,1548,3045.0,1.9670542635658914
102,2013,04,F9,949,1409.0,1.4847207586933615
103,2013,04,FL,564,457.0,0.8102836879432624
104,2013,04,MQ,2324,15497.0,6.668244406196213
105,2013,04,NK,0,0.0,0.0
106,2013,04,OO,1628,2024.0,1.2432432432432432
107,2013,04,UA,4024,7499.0,1.8635685884691848
108,2013,04,US,3335,1291.0,0.3871064467766117
109,2013,04,VX,576,2210.0,3.8368055555555554
110,2013,04,WN,4682,7317.0,1.5627936779154208
111,2013,04,YV,333,89.0,0.2672672672672673
112,2013,05,9E,694,1108.0,1.5965417867435159
113,2013,05,AA,2489,5728.0,2.3013258336681397
114,2013,05,AS,453,631.0,1.3929359823399559
115,2013,05,B6,779,502.0,0.6444159178433889
116,2013,05,DL,3694,5861.0,1.5866269626421223
117,2013,05,EV,1185,2240.0,1.890295358649789
118,2013,05,F9,910,367.0,0.4032967032967033
119,2013,05,FL,615,301.0,0.4894308943089431
120,2013,05,MQ,2227,10222.0,4.590031432420297
121,2013,05,NK,0,0.0,0.0
122,2013,05,OO,1599,1984.0,1.2407754846779238
123,2013,05,UA,3630,3943.0,1.0862258953168045
124,2013,05,US,3429,4446.0,1.2965879265091864
125,2013,05,VX,829,4095.0,4.939686369119421
126,2013,05,WN,4723,9339.0,1.9773449078975227
127,2013,05,YV,411,2016.0,4.905109489051095
128,2013,06,9E,809,2988.0,3.69344870210136
129,2013,06,AA,3238,12762.0,3.941321803582458
130,2013,06,AS,621,260.0,0.41867954911433175
131,2013,06,B6,1340,2528.0,1.8865671641791044
